"Start","Var","Value","Type"
1999-04-19,"RV",0.000210005322234163,"extended"
1999-04-20,"RV",0.000170018921775841,"extended"
1999-04-21,"RV",0.00031269352450417,"extended"
1999-04-22,"RV",0.000277489367637728,"extended"
1999-04-23,"RV",0.000243999393512937,"extended"
1999-04-26,"RV",0.000399007060142714,"extended"
1999-04-27,"RV",0.000361689710823678,"extended"
1999-04-28,"RV",0.000241048034336011,"extended"
1999-04-29,"RV",0.000276753638119853,"extended"
1999-04-30,"RV",0.000363345741192021,"extended"
1999-05-03,"RV",0.000243766962490825,"extended"
1999-05-04,"RV",0.000249493552371902,"extended"
1999-05-05,"RV",0.000178078862065693,"extended"
1999-05-06,"RV",0.0001615067233856,"extended"
1999-05-07,"RV",0.000170483128604957,"extended"
1999-05-10,"RV",0.000231595011919775,"extended"
1999-05-11,"RV",0.000376426330478546,"extended"
1999-05-12,"RV",0.000221471676002182,"extended"
1999-05-13,"RV",0.000230155966894527,"extended"
1999-05-14,"RV",0.000344035095826833,"extended"
1999-05-17,"RV",0.000347754698353729,"extended"
1999-05-18,"RV",0.000145125107403041,"extended"
1999-05-19,"RV",0.000155992081505256,"extended"
1999-05-20,"RV",0.000204140907807899,"extended"
1999-05-21,"RV",0.000203730689915282,"extended"
1999-05-24,"RV",0.000183030881638879,"extended"
1999-05-25,"RV",0.000235546886609043,"extended"
1999-05-26,"RV",0.000164749646677557,"extended"
1999-05-27,"RV",0.000134974447309775,"extended"
1999-05-28,"RV",0.000509807933732436,"extended"
1999-06-01,"RV",0.000215028585890995,"extended"
1999-06-02,"RV",0.000136314113603615,"extended"
1999-06-03,"RV",0.000148280088981301,"extended"
1999-06-04,"RV",0.000142580615659872,"extended"
1999-06-07,"RV",0.000156507272739332,"extended"
1999-06-08,"RV",0.000130520915254834,"extended"
1999-06-09,"RV",0.000153811740663126,"extended"
1999-06-10,"RV",0.000156912244728862,"extended"
1999-06-11,"RV",0.000103571457969375,"extended"
1999-06-14,"RV",0.000163929191435756,"extended"
1999-06-15,"RV",8.69427888707881e-05,"extended"
1999-06-16,"RV",0.000126522485209106,"extended"
1999-06-17,"RV",0.000249860464048697,"extended"
1999-06-18,"RV",0.000216998155483677,"extended"
1999-06-21,"RV",0.000286783648379933,"extended"
1999-06-22,"RV",0.000210527969953973,"extended"
1999-06-23,"RV",0.000198646069972683,"extended"
1999-06-24,"RV",0.000223433593862182,"extended"
1999-06-25,"RV",0.000165525796795224,"extended"
1999-06-28,"RV",0.000434294785093102,"extended"
1999-06-29,"RV",0.000213176708932427,"extended"
1999-06-30,"RV",0.000231791295140291,"extended"
1999-07-01,"RV",0.000291105077486026,"extended"
1999-07-02,"RV",0.000364580214574903,"extended"
1999-07-06,"RV",0.000306857040298082,"extended"
1999-07-07,"RV",0.00030935301953452,"extended"
1999-07-08,"RV",0.000197122502661943,"extended"
1999-07-09,"RV",0.000299184716830231,"extended"
1999-07-12,"RV",0.000328367724400683,"extended"
1999-07-13,"RV",0.000168782847980778,"extended"
1999-07-14,"RV",0.000290345445393039,"extended"
1999-07-15,"RV",0.000132112946143659,"extended"
1999-07-16,"RV",0.000185662554416654,"extended"
1999-07-19,"RV",0.000123269541520172,"extended"
1999-07-20,"RV",0.000207269059729465,"extended"
1999-07-21,"RV",0.00010098970493931,"extended"
1999-07-22,"RV",0.000168030902290116,"extended"
1999-07-23,"RV",0.000263064489096149,"extended"
1999-07-26,"RV",0.000162406316181905,"extended"
1999-07-27,"RV",0.000148578499311393,"extended"
1999-07-28,"RV",0.000195568288120201,"extended"
1999-07-29,"RV",0.000151262579184485,"extended"
1999-07-30,"RV",0.000254495101269661,"extended"
1999-08-02,"RV",0.000225057845770556,"extended"
1999-08-03,"RV",0.000431340161920275,"extended"
1999-08-04,"RV",0.000612518151204115,"extended"
1999-08-05,"RV",0.000138902290215122,"extended"
1999-08-06,"RV",0.000229417023131197,"extended"
1999-08-09,"RV",0.000312247339533669,"extended"
1999-08-10,"RV",0.000276079281210109,"extended"
1999-08-11,"RV",0.000132005023026917,"extended"
1999-08-12,"RV",0.000224262683197538,"extended"
1999-08-13,"RV",0.000292220777179813,"extended"
1999-08-16,"RV",0.000233532956470459,"extended"
1999-08-17,"RV",0.00015747827339956,"extended"
1999-08-18,"RV",0.000106650321930035,"extended"
1999-08-19,"RV",0.000337728204633024,"extended"
1999-08-20,"RV",0.000322485216841058,"extended"
1999-08-23,"RV",0.000291932744402024,"extended"
1999-08-24,"RV",0.000434224116471769,"extended"
1999-08-25,"RV",0.000275526197577694,"extended"
1999-08-26,"RV",0.000359368497730946,"extended"
1999-08-27,"RV",0.000269171281831004,"extended"
1999-08-30,"RV",0.000258412555039314,"extended"
1999-08-31,"RV",0.000305692799559627,"extended"
1999-09-01,"RV",0.000197851025609641,"extended"
1999-09-02,"RV",0.000613045618836931,"extended"
1999-09-03,"RV",0.000306637409691403,"extended"
1999-09-07,"RV",0.000203675686828631,"extended"
1999-09-08,"RV",0.000197859724696939,"extended"
1999-09-09,"RV",0.000134690671048929,"extended"
1999-09-10,"RV",0.000313718770472208,"extended"
