"","Start"
"1",1999-02-03
"2",1999-02-04
"3",1999-02-05
"4",1999-02-08
"5",1999-02-09
"6",1999-02-10
"7",1999-02-11
"8",1999-02-12
"9",1999-02-16
"10",1999-02-17
"11",1999-02-18
"12",1999-02-19
"13",1999-02-22
"14",1999-02-23
"15",1999-02-24
"16",1999-02-25
"17",1999-02-26
"18",1999-03-01
"19",1999-03-02
"20",1999-03-03
"21",1999-03-04
"22",1999-03-05
"23",1999-03-08
"24",1999-03-09
"25",1999-03-10
"26",1999-03-11
"27",1999-03-12
"28",1999-03-15
"29",1999-03-16
"30",1999-03-17
"31",1999-03-18
"32",1999-03-19
"33",1999-03-22
"34",1999-03-23
"35",1999-03-24
"36",1999-03-25
"37",1999-03-26
"38",1999-03-29
"39",1999-03-30
"40",1999-03-31
"41",1999-04-01
"42",1999-04-05
"43",1999-04-06
"44",1999-04-07
"45",1999-04-08
"46",1999-04-09
"47",1999-04-12
"48",1999-04-13
"49",1999-04-14
"50",1999-04-15
"51",1999-04-16
"52",1999-04-19
"53",1999-04-20
"54",1999-04-21
"55",1999-04-22
"56",1999-04-23
"57",1999-04-26
"58",1999-04-27
"59",1999-04-28
"60",1999-04-29
"61",1999-04-30
"62",1999-05-03
"63",1999-05-04
"64",1999-05-05
"65",1999-05-06
"66",1999-05-07
"67",1999-05-10
"68",1999-05-11
"69",1999-05-12
"70",1999-05-13
"71",1999-05-14
"72",1999-05-17
"73",1999-05-18
"74",1999-05-19
"75",1999-05-20
"76",1999-05-21
"77",1999-05-24
"78",1999-05-25
"79",1999-05-26
"80",1999-05-27
"81",1999-05-28
"82",1999-06-01
"83",1999-06-02
"84",1999-06-03
"85",1999-06-04
"86",1999-06-07
"87",1999-06-08
"88",1999-06-09
"89",1999-06-10
"90",1999-06-11
"91",1999-06-14
"92",1999-06-15
"93",1999-06-16
"94",1999-06-17
"95",1999-06-18
"96",1999-06-21
"97",1999-06-22
"98",1999-06-23
"99",1999-06-24
"100",1999-06-25
"101",1999-06-28
"102",1999-06-29
"103",1999-06-30
"104",1999-07-01
"105",1999-07-02
"106",1999-07-06
"107",1999-07-07
"108",1999-07-08
"109",1999-07-09
"110",1999-07-12
"111",1999-07-13
"112",1999-07-14
"113",1999-07-15
"114",1999-07-16
"115",1999-07-19
"116",1999-07-20
"117",1999-07-21
"118",1999-07-22
"119",1999-07-23
"120",1999-07-26
"121",1999-07-27
"122",1999-07-28
"123",1999-07-29
"124",1999-07-30
"125",1999-08-02
"126",1999-08-03
"127",1999-08-04
"128",1999-08-05
"129",1999-08-06
"130",1999-08-09
"131",1999-08-10
"132",1999-08-11
"133",1999-08-12
"134",1999-08-13
"135",1999-08-16
"136",1999-08-17
"137",1999-08-18
"138",1999-08-19
"139",1999-08-20
"140",1999-08-23
"141",1999-08-24
"142",1999-08-25
"143",1999-08-26
"144",1999-08-27
"145",1999-08-30
"146",1999-08-31
"147",1999-09-01
"148",1999-09-02
"149",1999-09-03
"150",1999-09-07
"151",1999-09-08
"152",1999-09-09
"153",1999-09-10
"154",1999-09-13
"155",1999-09-14
"156",1999-09-15
"157",1999-09-16
"158",1999-09-17
"159",1999-09-20
"160",1999-09-21
"161",1999-09-22
"162",1999-09-23
"163",1999-09-24
"164",1999-09-27
"165",1999-09-28
"166",1999-09-29
"167",1999-09-30
"168",1999-10-01
"169",1999-10-04
"170",1999-10-05
"171",1999-10-06
"172",1999-10-07
"173",1999-10-08
"174",1999-10-11
"175",1999-10-12
"176",1999-10-13
"177",1999-10-14
"178",1999-10-15
"179",1999-10-18
"180",1999-10-19
"181",1999-10-20
"182",1999-10-21
"183",1999-10-22
"184",1999-10-25
"185",1999-10-26
"186",1999-10-27
"187",1999-10-28
"188",1999-10-29
"189",1999-11-01
"190",1999-11-02
