"Start","Var","Value","Type"
2000-02-07,"RV",0.000278216005008827,"extendedOLS"
2000-02-08,"RV",0.000266884891461272,"extendedOLS"
2000-02-09,"RV",0.000307967788128037,"extendedOLS"
2000-02-10,"RV",0.00026840742483517,"extendedOLS"
2000-02-11,"RV",0.000261065692618093,"extendedOLS"
2000-02-14,"RV",0.000249849386883101,"extendedOLS"
2000-02-15,"RV",0.000260352845346582,"extendedOLS"
2000-02-16,"RV",0.00039118150332308,"extendedOLS"
2000-02-17,"RV",0.000346244623158042,"extendedOLS"
2000-02-18,"RV",0.000344153619125259,"extendedOLS"
2000-02-22,"RV",0.00034814177316717,"extendedOLS"
2000-02-23,"RV",0.000432267800506146,"extendedOLS"
2000-02-24,"RV",0.000401825755649971,"extendedOLS"
2000-02-25,"RV",0.000563164330231485,"extendedOLS"
2000-02-28,"RV",0.000343205961214631,"extendedOLS"
2000-02-29,"RV",0.000412781862921968,"extendedOLS"
2000-03-01,"RV",0.00022319459284912,"extendedOLS"
2000-03-02,"RV",0.000420192263898644,"extendedOLS"
2000-03-03,"RV",0.000234622684371186,"extendedOLS"
2000-03-06,"RV",0.000575174053480447,"extendedOLS"
2000-03-07,"RV",0.000369049149331812,"extendedOLS"
2000-03-08,"RV",0.000288730862535203,"extendedOLS"
2000-03-09,"RV",0.000297309886713774,"extendedOLS"
2000-03-10,"RV",0.000942100576336846,"extendedOLS"
2000-03-13,"RV",0.00042885822375605,"extendedOLS"
2000-03-14,"RV",0.000436204109090788,"extendedOLS"
2000-03-15,"RV",0.000717861768342968,"extendedOLS"
2000-03-16,"RV",0.000342091340049155,"extendedOLS"
2000-03-17,"RV",0.00030199420706781,"extendedOLS"
2000-03-20,"RV",0.00046957547729654,"extendedOLS"
2000-03-21,"RV",0.000276733936409107,"extendedOLS"
2000-03-22,"RV",0.000303643186219256,"extendedOLS"
2000-03-23,"RV",0.000290009092099588,"extendedOLS"
2000-03-24,"RV",0.000287760109120379,"extendedOLS"
2000-03-27,"RV",0.000353484165052691,"extendedOLS"
2000-03-28,"RV",0.000355619620774208,"extendedOLS"
2000-03-29,"RV",0.000458905764594758,"extendedOLS"
2000-03-30,"RV",0.000516385959079107,"extendedOLS"
2000-03-31,"RV",0.000451560478232903,"extendedOLS"
2000-04-03,"RV",0.00213958194820549,"extendedOLS"
2000-04-04,"RV",0.00112937397585849,"extendedOLS"
2000-04-05,"RV",0.000491390479742749,"extendedOLS"
2000-04-06,"RV",0.000350107028723931,"extendedOLS"
2000-04-07,"RV",0.000324124257225236,"extendedOLS"
2000-04-10,"RV",0.000574131031955792,"extendedOLS"
2000-04-11,"RV",0.000453775078035967,"extendedOLS"
2000-04-12,"RV",0.000621767295020588,"extendedOLS"
2000-04-13,"RV",0.00164109677541941,"extendedOLS"
2000-04-14,"RV",0.00139741585869231,"extendedOLS"
2000-04-17,"RV",0.0004845759346911,"extendedOLS"
2000-04-18,"RV",0.000453496929548622,"extendedOLS"
2000-04-19,"RV",0.000383174873392576,"extendedOLS"
2000-04-20,"RV",0.000767660310405682,"extendedOLS"
2000-04-24,"RV",0.000435910533085584,"extendedOLS"
2000-04-25,"RV",0.00028874313518991,"extendedOLS"
2000-04-26,"RV",0.00144020322444165,"extendedOLS"
2000-04-27,"RV",0.000373430034788789,"extendedOLS"
2000-04-28,"RV",0.000408310746368533,"extendedOLS"
2000-05-01,"RV",0.000499940016460942,"extendedOLS"
2000-05-02,"RV",0.000473224337957395,"extendedOLS"
2000-05-03,"RV",0.000368056756333032,"extendedOLS"
2000-05-04,"RV",0.000290519774656343,"extendedOLS"
2000-05-05,"RV",0.000309734050205382,"extendedOLS"
2000-05-08,"RV",0.000370603286952733,"extendedOLS"
2000-05-09,"RV",0.000514524683202635,"extendedOLS"
2000-05-10,"RV",0.000458786351687077,"extendedOLS"
2000-05-11,"RV",0.000256308217127436,"extendedOLS"
