"Start","Var","Value","Type"
2008-10-01,"RV",0.000358359695233673,"extended"
2008-10-02,"RV",0.000873760284603326,"extended"
2008-10-03,"RV",0.00825712571457157,"extended"
2008-10-06,"RV",0.00143790541011618,"extended"
2008-10-07,"RV",0.00251653111711023,"extended"
2008-10-08,"RV",0.00182495172352133,"extended"
2008-10-09,"RV",0.0111427393682358,"extended"
2008-10-10,"RV",0.000723858218884815,"extended"
2008-10-13,"RV",0.00177024187971984,"extended"
2008-10-14,"RV",0.00126096108411246,"extended"
2008-10-15,"RV",0.00404932071985449,"extended"
2008-10-16,"RV",0.00162902887197311,"extended"
2008-10-17,"RV",0.00153385541495692,"extended"
2008-10-20,"RV",0.000767189474826714,"extended"
2008-10-21,"RV",0.00111338286972142,"extended"
2008-10-22,"RV",0.00260514477929145,"extended"
2008-10-23,"RV",0.0026406782917575,"extended"
2008-10-24,"RV",0.00149903188264919,"extended"
2008-10-27,"RV",0.00140553028676853,"extended"
2008-10-28,"RV",0.00193965480037657,"extended"
2008-10-29,"RV",0.00122569373860572,"extended"
2008-10-30,"RV",0.000969883424539569,"extended"
2008-10-31,"RV",0.000329061938922308,"extended"
2008-11-03,"RV",0.000337603867610191,"extended"
2008-11-04,"RV",0.000507983162182698,"extended"
2008-11-05,"RV",0.00377449131738931,"extended"
2008-11-06,"RV",0.000759889758890413,"extended"
2008-11-07,"RV",0.00072096489130687,"extended"
2008-11-10,"RV",0.000943030277570446,"extended"
2008-11-11,"RV",0.00256041438331961,"extended"
2008-11-12,"RV",0.00197437150186101,"extended"
2008-11-13,"RV",0.00132410306675636,"extended"
2008-11-14,"RV",0.0011847900417324,"extended"
2008-11-17,"RV",0.00126160160897578,"extended"
2008-11-18,"RV",0.00133852499405433,"extended"
2008-11-19,"RV",0.00305310788828672,"extended"
2008-11-20,"RV",0.00259214388519666,"extended"
2008-11-21,"RV",0.00162488469785337,"extended"
2008-11-24,"RV",0.00120243762445124,"extended"
2008-11-25,"RV",0.000638304441764407,"extended"
2008-11-26,"RV",0.000231061400490254,"extended"
2008-11-28,"RV",0.000630148611971542,"extended"
2008-12-01,"RV",0.000882502553702041,"extended"
2008-12-02,"RV",0.00119108393753027,"extended"
2008-12-03,"RV",0.00113319146066429,"extended"
2008-12-04,"RV",0.00128099039994052,"extended"
2008-12-05,"RV",0.000587092968825239,"extended"
2008-12-08,"RV",0.000731353472493514,"extended"
2008-12-09,"RV",0.000581554201986071,"extended"
2008-12-10,"RV",0.000473378400587083,"extended"
2008-12-11,"RV",0.00104233071248651,"extended"
2008-12-12,"RV",0.00054496349643518,"extended"
2008-12-15,"RV",0.00127258020931758,"extended"
2008-12-16,"RV",0.00053203801558953,"extended"
2008-12-17,"RV",0.000389593250628669,"extended"
2008-12-18,"RV",0.000395220031789245,"extended"
2008-12-19,"RV",0.00231571135327104,"extended"
2008-12-22,"RV",0.000317800726382751,"extended"
2008-12-23,"RV",5.54525920771991e-05,"extended"
2008-12-24,"RV",4.64731226295608e-05,"extended"
2008-12-26,"RV",0.000136652315829087,"extended"
2008-12-29,"RV",0.000140377025728532,"extended"
2008-12-30,"RV",0.000631682563076708,"extended"
2008-12-31,"RV",0.000150813982581291,"extended"
2009-01-02,"RV",0.000260759663465766,"extended"
2009-01-05,"RV",0.000246099454492345,"extended"
2009-01-06,"RV",0.000211116455009117,"extended"
2009-01-07,"RV",0.000230129853209766,"extended"
2009-01-08,"RV",0.000285867463375301,"extended"
2009-01-09,"RV",0.00016888456313993,"extended"
2009-01-12,"RV",0.000367194786019849,"extended"
2009-01-13,"RV",0.000361860638563252,"extended"
2009-01-14,"RV",0.00206844947989349,"extended"
2009-01-15,"RV",0.000513394540544576,"extended"
2009-01-16,"RV",0.00122322679814994,"extended"
2009-01-20,"RV",0.000499139192826712,"extended"
2009-01-21,"RV",0.000735191323920629,"extended"
2009-01-22,"RV",0.000688647133088714,"extended"
2009-01-23,"RV",0.000493647616901185,"extended"
2009-01-26,"RV",0.000369934289655803,"extended"
2009-01-27,"RV",0.000330944224395092,"extended"
2009-01-28,"RV",0.000274284748702567,"extended"
2009-01-29,"RV",0.000411073795906684,"extended"
2009-01-30,"RV",0.000310177818828663,"extended"
2009-02-02,"RV",0.000304101901382223,"extended"
2009-02-03,"RV",0.000311852290609181,"extended"
2009-02-04,"RV",0.000403063081502587,"extended"
2009-02-05,"RV",0.000275827980357018,"extended"
2009-02-06,"RV",0.000171249964660606,"extended"
2009-02-09,"RV",0.000592936068192728,"extended"
2009-02-10,"RV",0.000299285431484675,"extended"
2009-02-11,"RV",0.00168192574152238,"extended"
2009-02-12,"RV",0.000336260194274604,"extended"
2009-02-13,"RV",0.000465098629158715,"extended"
2009-02-17,"RV",0.000509268885776668,"extended"
2009-02-18,"RV",0.000302472575338056,"extended"
2009-02-19,"RV",0.000657126790229393,"extended"
2009-02-20,"RV",0.000432586743543322,"extended"
2009-02-23,"RV",0.000439773507283426,"extended"
2009-02-24,"RV",0.000615523107070947,"extended"
2009-02-25,"RV",0.000480016959796374,"extended"
2009-02-26,"RV",0.000780332269692787,"extended"
2009-02-27,"RV",0.000473780761652187,"extended"
2009-03-02,"RV",0.000951613067996384,"extended"
2009-03-03,"RV",0.000490346983704098,"extended"
